case_no,processing_center,case_status,received_date,decision_date,employer_name,employer_address_1,employer_address_2,employer_city,employer_state,employer_postal_code,alien_citizenship_country,employer_job_title,wage_offered_from,wage_offered_to,wage_per,prevailing_wage_job_title,pw_amount,pw_level,pw_soc_code,pw_soc_title,application_type
A-05133-02899,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,"COLUCCIO ASSOCIATES, INC. DBA CAI TELECOM",19 FULTON STREET,SUITE 300,NEW YORK,NEW YORK,10038,CANADA,IT Design & Implementation Manager,$42.75,,Hour,Network Systems & Data Communications Analsyt,33.43,Level III,15-1081.00,Network Systems and Data Communications Analysts,PERM
A-05133-02901,Atlanta Processing Center,Certified,7/21/2005 0:00:00,7/25/2005 9:19:52,JTS WOODWORKING,75 NW 18TH AVENUE,,DELRAY BEACH,FLORIDA,33444,BRAZIL,Correspondence Clerk,$10.79,,Hour,Correspondence Clerk,10.79,Level I,43-4021.00,Correspondence Clerks,PERM
A-05133-02903,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,TNT AUTOMOTIVE CORP,902 SECOND AVENUE,,NEW HYDE PARK,NEW YORK,11040,TURKEY,Service Manager,$32219.00,,Year,DIspatcher,32219,Level III,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",PERM
A-05133-02909,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,CENTRAL POLISH CORP,7761 SW 88 ST #D209,,MIAMI,FLORIDA,33156,ARGENTINA,Marble Finisher,$25397.00,,Year,Marble Finisher,25397,Level II,47-2044.00,Tile and Marble Setters,PERM
A-05133-02911,Atlanta Processing Center,Denied,7/5/2005 0:00:00,,EXECUTIVE WHOLESALE TIRE,750 E. GUDE DRIVE,,ROCKVILLE,MARYLAND,20850,PERU,Tire Technician,$30030.00,,Year,Tire Technician,20197,Level II,49-3093.00,Tire Repairers and Changers,PERM
A-05133-02922,Atlanta Processing Center,Denied,5/18/2005 0:00:00,,ZAPTECH CORPORATION,"4275 SHACKLEFORD RD, SUITE 200",,NORCROSS,GEORGIA,30093,RUSSIA,Senior Project Engineer,$60000.00,$85000.00,Year,Senior Project Engineer,60000,Level IV,11-9041.00,Engineering Managers,PERM
A-05133-02924,Atlanta Processing Center,Certified,5/16/2005 0:00:00,6/30/2005 17:29:22,BETHEL BOARD OF EDUCATION,1 SCHOOL STREET,PO BOX 253,BETHEL,CONNECTICUT,06801,ROMANIA,Physics and Physical Science Teacher,$38833.00,$63312.00,Year,Physics and Physical Science Teacher,38833,Level I,25-2031.00,"Secondary School Teachers, Except Special and Voca",PERM
A-05133-02931,Atlanta Processing Center,Certified,5/16/2005 0:00:00,8/18/2005 10:48:04,"KARL STORZ ENDOSCOPY-AMERICA, INC.",91 CARPENTER HILL ROAD,,CHARLTON,MASSACHUSETTS,01507,MEXICO,Senior Computer Systems Analyst,$96085.00,,Year,Computer Systems Analyst,71032,Level III,15-1051.00,Computer Systems Analysts,PERM
A-05133-02934,Atlanta Processing Center,Certified,5/19/2005 0:00:00,9/28/2005 14:50:39,"MCKINSEY & COMPANY, INC UNITED STATES",55 EAST 52ND ST.,27TH FLOOR,NEW YORK,NEW YORK,10022,INDIA,IT Business Analyst (Data Warehousing),$73000.00,,Year,Operations Research Analyst,67538,Level III,15-2031.00,Operations Research Analysts,PERM
A-05133-02936,Atlanta Processing Center,Denied,6/20/2005 0:00:00,,COSMOS GRILL INC.,147 CONNECTICUT AVENUE,,NORWALK,CONNECTICUT,06854,GREECE,Cook,$13.92,,Hour,Cook,13.92,Level IV,35-2014.00,"Cooks, Restaurant",PERM
A-05133-02938,Atlanta Processing Center,Denied,5/20/2005 0:00:00,,DOUGLAS POLLEY,45 EAST 82ND ST. #6W,,NEW YORK,NEW YORK,10028,ST VINCENT,Houseworker,$12.30,,Hour,Houseworker,12.3,Level II,37-2012.00,Maids and Housekeeping Cleaners,PERM
A-05133-02942,Atlanta Processing Center,Certified,5/13/2005 0:00:00,8/15/2005 16:22:48,"AIN D&D,CORP",320 NORTHERN BLVD. SUITE # 18,,GREAT NECK,NEW YORK,11021,SOUTH KOREA,Architect,$50000.00,,Year,Architect,23.51,Level II,17-1011.00,"Architects, Except Landscape and Naval",PERM
A-05133-02944,Atlanta Processing Center,Certified,5/19/2005 0:00:00,9/28/2005 14:51:20,"MCKINSEY & COMPANY, INC UNITED STATES",55 EAST 52ND ST.,27TH FLOOR,NEW YORK,NEW YORK,10022,BULGARIA,IT Business Analyst (SDLC),$66000.00,,Year,Operations Research Analyst,54558,Level II,15-2031.00,Operations Research Analysts,PERM
A-05133-02950,Atlanta Processing Center,Denied,5/17/2005 0:00:00,,BODEN INC.,ONE EXECUTIVE DRIVE,SUITE 280,SOMERSET,NEW JERSEY,08873,INDIA,PROGRAMMER ANALYST,$88000.00,,Year,PROGRAMMER ANALYST,87693,Level IV,15-1021.00,Computer Programmers,PERM
A-05134-02965,Atlanta Processing Center,Denied,5/17/2005 0:00:00,,EZEN COMPUTER SERVICES INC,"5 INDEPENDENCE WAY, STE #300",,PRINCETON,NEW JERSEY,08540,INDIA,Programmer/Analyst,$62000.00,,Year,Programmer/Analyst,29.73,Level II,15-1051.00,Computer Systems Analysts,PERM
A-05134-02973,Atlanta Processing Center,Certified,5/18/2005 0:00:00,6/2/2005 16:12:14,REHTEK MACHINE CO.,135 MONROE STREET,,PASSAIC,NEW JERSEY,07055,SLOVAKIA,Machinist,$14.29,,Hour,Machinist,14.29,Level II,51-4041.00,Machinists,PERM
A-05135-02983,Atlanta Processing Center,Withdrawn,5/15/2005 0:00:00,,"SIMPLEX INFO SYSTEMS, INC",76 NORTHEASTERN BLVD,SUITE #32C,NASHUA,NEW HAMPSHIRE,03062,INDIA,Project Manager,$49.58,,Hour,Project Manager,36.47,Level II,11-3021.00,Computer and Information Systems Managers,PERM
A-05135-02984,Atlanta Processing Center,Certified,5/17/2005 0:00:00,8/1/2005 9:04:01,"SIMPLEX INFO SYSTEMS, INC",76 NORTHEASTERN BLVD,SUITE #32C,NASHUA,NEW HAMPSHIRE,03062,INDIA,Project Manager,$49.58,,Hour,Project Manager,36.47,Level II,11-3021.00,Computer and Information Systems Managers,PERM
A-05136-02988,Atlanta Processing Center,Denied,5/16/2005 0:00:00,,NAZIR AHMED,10859 DITMARS BLVD,,FLUSHING,NEW YORK,11369,PAKISTAN,Civil Engineering Technician & Personnal Assistant,$25.00,,Hour,Civil Engineering Technicians,24.06,Level II,17-3022.00,Civil Engineering Technicians,PERM
A-05136-02990,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,GA BO JA RESTAURANT,7119 COLUMBIA PIKE,,ANNANDALE,VIRGINIA,22003,NORTH KOREA,"Cook, Korean Specialty",$11.58,,Hour,"Cook, Korean Specialty",11.58,Level IV,35-2014.00,"Cooks, Restaurant",PERM
A-05136-02991,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,CRYSTAL WINDOWS & DOORS SYSTEMS,"31-10, WHITESTONE EXPRESSWAY,",,FLUSHING,NEW YORK,11354,CHINA,Sales Rep.,$17.20,,Hour,Sales Rep.,17.2,Level II,41-4011.00,"Sales Representatives, Wholesale and Manufacturing",PERM
A-05136-02993,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,"USE SURGICAL INSTRUMENTS, INC.",239 BARROW STREET,,JERSEY CITY,NEW JERSEY,07302,PAKISTAN,Surgical Instrument Repairer,$24000.00,$26000.00,Year,Surgical Instruments Repairer,11.49,Level I,51-9082.00,Medical Appliance Technicians,PERM
A-05136-02996,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,DON PAPA GRANDE MEXICAN RESTURANT,12806 JEFFERSON DAVIS HIGHWAY,,CHESTER,VIRGINIA,23831,MEXICO,Mexican Food Cook,$10.65,,Hour,Foreign Specialty Cook,10.64,Level I,35-2014.00,"Cooks, Restaurant",PERM
A-05136-02997,Atlanta Processing Center,Certified,6/8/2005 0:00:00,9/9/2005 9:28:36,"ISIS COLLECTIONS, INC",625 GOTHAM PARKWAY,,CARLSTADT,NEW JERSEY,07072,SOUTH KOREA,Purchasing Agent,$26.43,,Hour,Wholesale Buyer,26.43,Level III,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",PERM
A-05136-02999,Atlanta Processing Center,Certified,7/6/2005 0:00:00,7/26/2005 15:20:22,HARTFORD HOSPITAL,80 SEYMOUR STREET,,HARTFORD,CONNECTICUT,06102,POLAND,Senior Scientist/Project Coordinator,$72000.00,$72000.00,Year,"Medical Scientists, Except Epidemiologists",66102,Level III,19-1042.00,"Medical Scientists, Except Epidemiologists",PERM
A-05136-03000,Atlanta Processing Center,Certified,9/15/2005 0:00:00,9/28/2005 10:54:44,"CAPITAL ONE SERVICES, INC.",1680 CAPITAL ONE DR.,,MCLEAN,VIRGINIA,22102,INDIA,Analyst,$72500.00,,Year,Operations Research Analyst,57949,Level II,15-2031.00,Operations Research Analysts,PERM
A-05136-03003,Atlanta Processing Center,Denied,5/13/2005 0:00:00,,MACK UPCHURCH,5394 BAGDAD ROAD,,BAGDAD,KENTUCKY,40003,MEXICO,General Farm Worker,$9.00,,Hour,Farmworkers and laborers,7.17,Level I,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Green",PERM
A-05145-04222,Atlanta Processing Center,Denied,5/24/2005 0:00:00,,"VICTORIA CRUISES, INC",57-08 39TH AVENUE,,WOODSIDE,NEW YORK,11377,TAIWAN,Public Relations Specialist,$54995.00,,Year,Public Relations Specialists,54995,Level III,27-3031.00,Public Relations Specialists,PERM
A-05145-04223,Atlanta Processing Center,Denied,5/24/2005 0:00:00,,"AARON'S MENSWEAR, INC.",4929 NINE MILE ROAD,,RICHMOND,VIRGINIA,23223,NORTH KOREA,Alteration Tailor,$11.30,,Hour,Alteration Tailor,11.29,,51-6052.02,Custom Tailors,PERM
A-05145-04226,Atlanta Processing Center,Denied,5/24/2005 0:00:00,,RAMGHERIA CORPORATION D/B/A RAJPOOT RESTURANT,520 ERNSTON ROAD,,SAYREVILLE,NEW JERSEY,08859,INDIA,"Cook, Indian Specialty",$24960.00,,Year,"Cook, Indian Resturant",18429,Level I,35-2014.00,"Cooks, Restaurant",PERM
A-05145-04228,Atlanta Processing Center,Denied,5/24/2005 0:00:00,,S.W.I.F.T. INC.,1621 MCDEVITT DRIVE,,CULPEPER,VIRGINIA,22701,INDIA,Senior Networking Engineer,$80000.00,,Year,Data Communications Analyst,57907,Level II,15-1081.00,Network Systems and Data Communications Analysts,PERM
A-05145-04231,Atlanta Processing Center,Certified,5/25/2005 0:00:00,9/20/2005 13:48:35,ROWAN UNIVERSITY,201 MULLICA HILL ROAD,,GLASSBORO,NEW JERSEY,08028,CHINA,"Faculty, Assistant Professor",$51034.75,,Year,"Faculty, Assistant Professor",51034.75,,25-1081.00,"Education Teachers, Postsecondary",PERM
A-05145-04234,Atlanta Processing Center,Certified,6/14/2005 0:00:00,6/27/2005 12:56:05,KARL CHEVROLET COMPANY,261 ELM STREET,,NEW CANAAN,CONNECTICUT,06840,GUATEMALA,Detail Tech,$7.38,,Hour,Detail Tech,7.38,Level I,53-7061.00,Cleaners of Vehicles and Equipment,PERM
A-05145-04238,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,"FITZGERALD & COMPANY, LLC","18 TREMONT STREET, SUITE 210",,BOSTON,MASSACHUSETTS,02108,COLOMBIA,First Line Supervisor,$593.25,,Week,First Line Supervisor,16.95,Level I,45-1011.03,First-Line Supervisors and Manager/Supervisors - A,PERM
A-05145-04242,Atlanta Processing Center,Denied,5/25/2005 0:00:00,,"EMPIRE CLEANERS, INC",9028 W. BROAD STREET,,RICHMOND,VIRGINIA,23294,NORTH KOREA,Alteration Tailor,$11.30,,Hour,Alteration Tailor,11.29,Level I,51-6052.02,Custom Tailors,PERM
A-05145-04245,Atlanta Processing Center,Denied,5/25/2005 0:00:00,,BABS BRICK & PAYERS CORPORATION,1410 NE 40 STREET,,POMPANO BEACH,FLORIDA,33064,BRAZIL,Bricklayer,$17.54,,Hour,Bricklayer,17.54,Level III,47-2021.00,Brickmasons and Blockmasons,PERM
A-05151-04857,Atlanta Processing Center,Certified,6/15/2005 0:00:00,9/28/2005 14:52:01,"MCKINSEY & COMPANY, INC UNITED STATES",55 EAST 52ND ST.,27TH FLOOR,NEW YORK,NEW YORK,10022,INDIA,Engagement Manager,$130000.00,,Year,Management Analyst,82160,Level II,13-1111.00,Management Analysts,PERM
A-05151-04858,Atlanta Processing Center,Withdrawn,6/3/2005 0:00:00,,ABINGTON MEMORIAL HOSPITAL,1200 OLD YORK ROAD,,ABINGTON,PENNSYLVANIA,19001,INDIA,"Upper Year Resident (2nd, 3rd and 4th post MD year",$43995.00,$46635.00,Year,Internal Resident,41693,,29-1063.00,"Internists, General",PERM
A-05151-04859,Atlanta Processing Center,Certified,5/31/2005 0:00:00,7/12/2005 13:40:33,"KEY AND KEY, P.C.",3239 DEANS BRIDGE ROAD,,AUGUSTA,GEORGIA,30906,SOUTH KOREA,Translator,$33000.00,,Year,Translator,27186,Level III,27-3091.00,Interpreters and Translators,PERM
A-05151-04860,Atlanta Processing Center,Denied,6/2/2005 0:00:00,,"LUCKY START AT KENDALLAND, LLC.",12515 NORTH KENDALL DRIVE SUITE 328,,MIAMI,FLORIDA,33186,VENEZUELA,Assistant Construction Superintendent,$40040.00,,Year,Assistant Construction Superintendent,40040,Level I,11-9021.00,Construction Managers,PERM
A-05151-04862,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,"AKASH KHAN, INC. T/A QUIK SHOP CITGO",9308 GUNSTON COVE ROAD,,LORTON,VIRGINIA,22709,PAKISTAN,Manager,$37294.00,,Year,First Line Supervisor Retail,37294,Level III,41-1011.00,First-Line Supervisors/Managers of Retail Sales Wo,PERM
A-05151-04863,Atlanta Processing Center,Certified,6/2/2005 0:00:00,6/15/2005 11:56:21,BINARY TREE,1350 BROADWAY,SUITE 912,NEW YORK,NEW YORK,10018,UNITED KINGDOM,IT Marketing Representative,$67000.00,,Year,IT Marketing Representative,66997,Level III,11-2021.00,Marketing Managers,PERM
A-05151-04864,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,NOOR OIL,713 TINKLING SPRING ROAD,,FISHERVILLE,VIRGINIA,22939,PAKISTAN,Assistant Manager,$9.00,,Hour,"Manager, Retail Store",8.47,Level I,41-1011.00,First-Line Supervisors/Managers of Retail Sales Wo,PERM
A-05151-04865,Atlanta Processing Center,Certified,6/24/2005 0:00:00,8/1/2005 13:09:17,"MCKINSEY & COMPANY, INC UNITED STATES",55 EAST 52ND ST.,27TH FLOOR,NEW YORK,NEW YORK,10022,ARGENTINA,Engagement Manager,$130000.00,,Year,Management Analyst,60050,Level II,13-1111.00,Management Analysts,PERM
A-05151-04867,Atlanta Processing Center,Withdrawn,6/3/2005 0:00:00,,ABINGTON MEMORIAL HOSPITAL,1200 OLD YORK ROAD,,ABINGTON,PENNSYLVANIA,19001,PAKISTAN,"Upper Year Resident (2nd, 3rd and 4th post MD year",$43995.00,$46635.00,Year,Internal Resident,41693,,29-1063.00,"Internists, General",PERM
A-05151-04868,Atlanta Processing Center,Certified,5/31/2005 0:00:00,9/2/2005 17:05:09,FIRST NATIONAL BANK & TRUST COMPANY,815 COLORADO AVENUE,,STUART,FLORIDA,34994,CHINA,Financial Analyst II,$3463.18,,Month,Financial Analyst II,3463.18,Level II,13-2051.00,Financial Analysts,PERM
A-05151-04870,Atlanta Processing Center,Denied,6/2/2005 0:00:00,,"PRINCETON INFORMATION, LTD.","8260 GREENSBORO DRIVE, SUITE 400",,MCLEAN,VIRGINIA,22102,INDIA,Software Engineer,$156000.00,,Year,"Computer Software Engineer, Applications",97198,Level IV,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05151-04871,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,"MERCK & CO., INC.",ONE MERCK DRIVE,,WHITEHOUSE STATION,NEW JERSEY,08889,CHINA,Statistical Programmer,$63552.00,,Year,Statistical Programmer,63523,Level III,15-1021.00,Computer Programmers,PERM
A-05151-04873,Atlanta Processing Center,Certified,5/31/2005 0:00:00,7/29/2005 16:37:52,"INPHONIC, INC.","1010 WISCONSIN AVENUE, NW",SUITE 600,WASHINGTON,DISTRICT OF COLUMBIA,20007,SENEGAL,Financial Reporting Analyst,$49600.00,$49600.00,Year,Financial Analyst,47300,Level II,13-2051.00,Financial Analysts,PERM
A-05151-04874,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,RICHARD AND KAREN SILVER,1006 TARAY DE AVILA,,TAMPA,FLORIDA,33613,COLOMBIA,Domestic Worker,$276.40,,Week,Domestic Worker,276.4,Level II,37-2012.00,Maids and Housekeeping Cleaners,PERM
A-05151-04875,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,"AKASH KHAN, INC. T/A QUIK SHOP CITGO",9308 GUNSTON COVE ROAD,,LORTON,VIRGINIA,22709,PAKISTAN,Manager,$37294.00,,Year,First Line Supervisor Retail,37294,Level III,41-1011.00,First-Line Supervisors/Managers of Retail Sales Wo,PERM
A-05151-04876,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,DAVID SIEGEL,"9461 SUNRISE LAKES BLVD., #105",,SUNRISE,FLORIDA,33322,CHINA,HOUSEHOLD WORKER,$250.00,,Week,HOUSEHOLD WORKER,246.8,Level I,37-2019.99,"Building Cleaning Workers, All Other",PERM
A-05151-04878,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,FRITZ E. SCHARENBERG,151 CRANDON BOULEVARD,,KEY BISCAYNE,FLORIDA,33149,COLOMBIA,Household Worker,$6.80,,Hour,Household Worker,6.8,Level II,37-2012.00,Maids and Housekeeping Cleaners,PERM
A-05151-04880,Atlanta Processing Center,Certified,6/15/2005 0:00:00,9/2/2005 10:56:38,"ALI AUTO & BODY REPAIR, INC.",940 NEWARK ROAD,,ELIZABETH,NEW JERSEY,07208,PAKISTAN,Automotive Mechanic,$11.00,$12.00,Hour,Automotive Mechanic,10.4,Level I,49-3023.00,Automotive Service Technicians and Mechanics,PERM
A-05151-04883,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,"FITZGERALD & COMPANY, LLC","18 TREMONT STREET, SUITE 210",,BOSTON,MASSACHUSETTS,02108,COLOMBIA,First Line Supervisor,$593.25,,Week,First Line Supervisor,16.95,Level I,45-1011.03,First-Line Supervisors and Manager/Supervisors - A,PERM
A-05151-04884,Atlanta Processing Center,Denied,8/16/2005 0:00:00,,"ECONOMY.COM, INC.",121 N. WALNUT STREET,SUITE 500,WEST CHESTER,PENNSYLVANIA,19380,HUNGARY,Economist,$55000.00,,Year,Economist,49421,Level I,19-3011.00,Economists,PERM
A-05151-04885,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,"ALPEN HOUSE LTD, DBA ADENA SPRINGS",4600 OLD FRANKFORT PIKE,,MIDWAY,KENTUCKY,40383,IRELAND,Equine Logistics Specialist,$38917.00,,Year,Operations Research Analyst,18.71,Level I,15-2031.00,Operations Research Analysts,PERM
A-05151-04890,Atlanta Processing Center,Certified,6/23/2005 0:00:00,7/12/2005 10:26:17,"KEL-RICK CONSTRUCTION MANAGEMENT, INC.",3 SECURITY DRIVE,,HUDSON,NEW HAMPSHIRE,03051,CANADA,Drywall Applicator,$19.12,$22.00,Hour,Drywall and Ceiling Installer,19.12,Level III,47-2081.00,Drywall and Ceiling Tile Installers,PERM
A-05151-04891,Atlanta Processing Center,Certified,6/17/2005 0:00:00,6/27/2005 12:54:59,CORNET TECHNOLOGY INC,"6800 VERSAR CENTER,#216",,SPRINGFIELD,VIRGINIA,22151,CHINA,Senior Firmware Engineer,$92186.00,,Year,Computer Hardware Engineers,92186,Level IV,17-2061.00,Computer Hardware Engineers,PERM
A-05151-04904,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,SAL GROSSO,1927 POWERS FERRY ROAD,,ATLANTA,GEORGIA,30339,BRAZIL,Brazilian Barbeque Specialist,$8.17,,Hour,Waiter,8.17,Level IV,35-3031.00,Waiters and Waitresses,PERM
A-05151-04916,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,"FITZGERALD & COMPANY, LLC","18 TREMONT STREET, SUITE 210",,BOSTON,MASSACHUSETTS,02108,COLOMBIA,First Line Supervisor,$593.25,,Week,First Line Supervisor,16.95,Level I,45-1011.03,First-Line Supervisors and Manager/Supervisors - A,PERM
A-05151-04919,Atlanta Processing Center,Certified,6/3/2005 0:00:00,6/30/2005 14:51:34,HOFSTRA UNIVERSITY,1000 FULTON AVENUE,,HEMPSTEAD,NEW YORK,11549,TURKEY,ASSISTANT PROFESSOR,$82920.00,,Year,ASSISTANT PROFESSOR,51410,Level I,25-1063.00,"Economics Teachers, Postsecondary",PERM
A-05151-04921,Atlanta Processing Center,Certified,6/6/2005 0:00:00,9/2/2005 16:59:42,"NATIONAL BRICK PAVERS, CORP",3450 N. FEDERAL HIGHWAY,,LIGHTHOUSE POINT,FLORIDA,33064,UNITED KINGDOM,Waterproofing Supervisor,$23.20,,Hour,Waterproofing Supervisor,23.2,Level II,47-1011.00,First-Line Supervisors/Managers of Construction Tr,PERM
A-05151-04926,Atlanta Processing Center,Certified,6/7/2005 0:00:00,9/23/2005 12:33:37,UNIVERSITY OF MASSACHUSETTS AMHERST,"DIVISION OF HUMAN RESOURCES, WHITMORE ADMINISTRATI",181 PRESIDENTS DRIVE,AMHERST,MASSACHUSETTS,01003-9313,ITALY,ASSISTANT PROFESSOR,$52000.00,,Year,ASSISTANT PROFESSOR,52000,Level I,25-1124.00,"Foreign Language and Literature Teachers, Postseco",PERM
A-05151-04928,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,"NUMBERS ONLY, INC.","21 TECHNOLOGY DRIVE, UNIT 4",,WEST LEBANON,NEW HAMPSHIRE,03784,INDIA,Software Engineer,$70512.00,,Year,Computer Software Engineer,70512,Level III,15-1031.00,"Computer Software Engineers, Applications",PERM
A-05151-04930,Atlanta Processing Center,Denied,6/21/2005 0:00:00,,NEXIUS INC.,12020 SUNRISE VALLEY DRIVE,STE 100,RESTON,VIRGINIA,20191,CANADA,Telecomm Engineer,$100000.00,,Year,Telecomm Engineer,69742,Level II,17-2072.00,"Electronics Engineers, Except Computer",PERM
A-05151-04938,Atlanta Processing Center,Certified,6/1/2005 0:00:00,9/23/2005 15:43:52,BALTIMORE PULMONARY AND CRITICAL CARE PA,821 N EUTAW STREET,SUIT 407,BALTIMORE,MARYLAND,21201,INDIA,Physician Internal Medicine,$140000.00,$150000.00,Year,Internist,11.02,Level II,29-1063.00,"Internists, General",PERM
A-05151-04939,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,"BARRY ROSENBERG, M.D.",22750 MERIDIANA DR.,,BOCA RATON,FLORIDA,33433,PERU,House Worker General,$250.00,,Week,House Worker General,246.8,Level I,37-2012.00,Maids and Housekeeping Cleaners,PERM
A-05151-04940,Atlanta Processing Center,Certified,8/3/2005 0:00:00,9/15/2005 16:34:22,"WARTSILA NORTH AMERICA, INC.",16330 AIR CENTER BLVD.,,HOUSTON,TEXAS,77032,ITALY,Marine Service Engineer,$62000.00,,Year,Marine Engineers,42702,Level III,17-2121.01,Marine Engineers,PERM
A-05151-04943,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,"MERCK & CO., INC.",ONE MERCK DRIVE,,WHITEHOUSE STATION,NEW JERSEY,08889,CHINA,Biometrician,$82740.00,,Year,Statistician,76170,Level IV,15-2041.00,Statisticians,PERM
A-05151-04944,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,DIAMOND DISTRICT,84 SOUTHPARK CIRCLE,,COLONIAL HEIGHTS,VIRGINIA,23834,PAKISTAN,Jewelry Repairer,$13.30,,Hour,Jeweler,13.26,Level II,51-9071.00,Jewelers and Precious Stone and Metal Workers,PERM
A-05151-04945,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,"MERCK & CO., INC.",ONE MERCK DRIVE,,WHITEHOUSE STATION,NEW JERSEY,08889,CHINA,Biometrician,$101196.00,,Year,Statistician,76170,Level IV,15-2041.00,Statisticians,PERM
A-05151-04946,Atlanta Processing Center,Denied,6/21/2005 0:00:00,,NEXIUS INC.,12020 SUNRISE VALLEY DRIVE,STE 100,RESTON,VIRGINIA,20191,PAKISTAN,Telecomm Engineer,$72000.00,,Year,Telecomm Engineer,69742,Level II,17-2072.00,"Electronics Engineers, Except Computer",PERM
A-05151-04948,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,SAL GROSSO,1927 POWERS FERRY ROAD,,ATLANTA,GEORGIA,30339,BRAZIL,Brazilian Barbeque Specialist,$8.17,,Hour,Waiter,8.17,Level IV,35-3031.00,Waiters and Waitresses,PERM
A-05151-04951,Atlanta Processing Center,Certified,6/3/2005 0:00:00,9/30/2005 11:43:47,NEWTON PUBLIC SCHOOLS,100 WALNUT STREET,,NEWTON,MASSACHUSETTS,02459,INDIA,Chemistry Teacher,$39815.00,,Year,Secondary School Teacher,34500,Level I,25-2031.00,"Secondary School Teachers, Except Special and Voca",PERM
A-05151-04953,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,"DOLLAR PHONE SERVICES, INC.",232 BROADWAY,,BROOKLYN,NEW YORK,11211,HUNGARY,Technical Routing Analyst,$13.00,,Hour,Technical Routing Analyst,13,Level IV,11-1021.00,General and Operations Managers,PERM
A-05151-04959,Atlanta Processing Center,Certified,7/18/2005 0:00:00,8/8/2005 10:36:10,"FIRMENICH, INC.",250 PLAINSBORO ROAD,,PLAINSBORO,NEW JERSEY,08536,INDIA,Systems Analyst (Global Manufacturing),$75000.00,,Year,Computer Systems Analyst,74006,Level III,15-1051.00,Computer Systems Analysts,PERM
A-05151-04960,Atlanta Processing Center,Denied,6/6/2005 0:00:00,,G&S GROUP LLC,192 S STATE RD 7,,WEST PALM BEACH,FLORIDA,33414,VENEZUELA,Administrative Assistant,$14.75,,Hour,Administrative Assistant,14.71,Level I,43-6011.00,Executive Secretaries and Administrative Assistant,PERM
A-05151-04964,Atlanta Processing Center,Denied,5/31/2005 0:00:00,,"BUDIMEX INC.,",57-21 MAZEAU STREET,,MASPETH,NEW YORK,11378,POLAND,Stone Mason,$26.13,$29.00,Hour,Stone Mason,26.13,Level III,47-2022.00,Stonemasons,PERM
